stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality
091398,0,091398,Rua Dom Manuel I (Frente Piscinas Municipais),,,38.648861,-8.984778,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
091719,0,091719,Rua Aquilino Ribeiro (X) Rua Maria Matos,,,38.652186,-8.987089,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
094856,0,094856,Avenida José Almada Negreiros (Frente Biblioteca),,,38.648265,-9.04107,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
096222,0,096222,Rua José Dias Coelho 30,,,38.652656,-8.988406,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
096805,0,096805,Rua General Humberto Delgado (Frente Parque Municipal),,,38.652395,-8.989355,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
097374,0,097374,Rua da Paz 11,,,38.646465,-8.988463,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
097528,0,097528,Rua António Sérgio 16,,,38.650678,-8.986223,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
098007,0,098007,Rua António Sérgio (X) Largo dos Lusíadas,,,38.650639,-8.986473,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
099291,0,099291,Rua Aquilino Ribeiro (X) Rua Antero de Quental,,,38.65179,-8.98653,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
099421,0,099421,Rua Dom Manuel I (Casa dos Marcos),,,38.64884,-8.984521,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
