stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_id,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2
070691,70691,"070691","R Loriga (Sacavém)","","",38.789614,-9.104277,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070693,70693,"070693","R Cidade Goa 1424 (Sacavém)","","",38.790684,-9.103658,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070695,70695,"070695","R Fábrica Loiça (Sacavém)","","",38.792869,-9.103429,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070697,70697,"070697","Praça República (Jardim)","","",38.795788,-9.105285,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070698,70698,"070698","Praça República (Jardim)","","",38.79579,-9.105415,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070699,70699,"070699","Pct Bomb Voluntário (X) R Palma Carlos","","",38.793852,-9.108128,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070700,70700,"070700","Pct Bomb Voluntário (X) R Palma Carlos","","",38.793931,-9.108235,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070701,70701,"070701","R José Duarte Morais 34 (Sacavém)","","",38.794249,-9.10839,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070703,70703,"070703","R Salvador Allende (X) (R Luís Camões","","",38.795099,-9.110362,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070705,70705,"070705","Av Comunidades (Sacavém)","","",38.797456,-9.115709,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070707,70707,"070707","Sta Iria Azóia (Estação)","","",38.841321,-9.080293,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070709,70709,"070709","Av Santa Iria 8","","",38.842054,-9.081996,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070710,70710,"070710","Av Santa Iria 8","","",38.842386,-9.081919,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070711,70711,"070711","R Francisco Xavier 55","","",38.84608,-9.083339,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070712,70712,"070712","R Francisco Xavier 55 (X) R Diu","","",38.845987,-9.08369,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070713,70713,"070713","R Francisco Xavier 34","","",38.844337,-9.084259,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070714,70714,"070714","R Francisco Xavier 34","","",38.844391,-9.084119,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070715,70715,"070715","R Angola 6","","",38.846386,-9.085745,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070717,70717,"070717","R Zeca Afonso 10 (Urb Alto Eira)","","",38.844313,-9.088699,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070718,70718,"070718","R Zeca Afonso 10 (Urb Alto Eira)","","",38.844206,-9.088887,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070719,70719,"070719","Estr Cruzinha 15 (B Cativo)","","",38.842364,-9.089566,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070720,70720,"070720","Estr Cruzinha 15 (B Cativo)","","",38.842346,-9.089775,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070721,70721,"070721","R Progresso 96 (B Courelas)","","",38.841317,-9.090415,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070722,70722,"070722","R Progresso 96 (B Courelas)","","",38.84129,-9.09029,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070723,70723,"070723","R Progresso 65 (B Courelas)","","",38.839883,-9.091425,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070724,70724,"070724","R Progresso 65 (B Courelas)","","",38.839769,-9.09153,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070725,70725,"070725","R Progresso 43 (B Courelas)","","",38.838313,-9.090873,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070726,70726,"070726","R Progresso 43 (B Courelas)","","",38.83824,-9.090955,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070727,70727,"070727","R D Pedro V 3 (Qta Castelo)","","",38.838028,-9.092465,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070728,70728,"070728","R D Pedro V 3 (Qta Castelo)","","",38.83818,-9.092359,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070731,70731,"070731","R Circunvalação 51","","",38.834462,-9.093875,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070733,70733,"070733","R Circunvalação 342 (B Estacal Novo)","","",38.832505,-9.093276,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070734,70734,"070734","R Circunvalação 342 (B Estacal Novo)","","",38.832334,-9.09344,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070735,70735,"070735","R Circunvalação 74 (B Estacal Novo)","","",38.831196,-9.0932,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070736,70736,"070736","R Circunvalação 74 (B Estacal Novo)","","",38.831113,-9.093333,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070737,70737,"070737","R Heróis Grande Guerra 37 (Urb Areeiro)","","",38.824077,-9.094928,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070738,70738,"070738","R Heróis Grande Guerra 37 (Urb Areeiro)","","",38.824353,-9.095013,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070739,70739,"070739","R D Afonso Henriques 14 (C Comercial)","","",38.822811,-9.098201,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070740,70740,"070740","R D Afonso Henriques 14 (C Comercial)","","",38.822405,-9.098245,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070742,70742,"070742","R D Afonso Henriques 78","","",38.819693,-9.098796,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070743,70743,"070743","R D Afonso Henriques 35","","",38.817537,-9.099806,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070745,70745,"070745","R D Af Henriques (X) B Fraternidade","","",38.814819,-9.100455,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070747,70747,"070747","Bº Figueira (Rua Mira Tejo)","","",38.813921,-9.099873,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070748,70748,"070748","R D Af Henriques (X) B Figueira","","",38.813441,-9.100438,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070749,70749,"070749","R Ant Ferreira 21","","",38.809757,-9.099189,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070751,70751,"070751","R Ant Ferreira 3","","",38.807791,-9.099201,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070753,70753,"070753","En 10 (B Petrogal)","","",38.805616,-9.096009,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070754,70754,"070754","En 10 (B Petrogal)","","",38.805226,-9.096338,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070755,70755,"070755","En 10 (B Petrogal)","","",38.801517,-9.098704,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070757,70757,"070757","En 10 (B Petrogal)","","",38.799755,-9.098641,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
