line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
2301,2301,Alverca (Estação) | Circular,2301_0,42,,Alverca,2301,Alverca (Estação) | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2303,2303,Alverca (Estação) - Arcena,2303_0,42,Alverca (Est),Arcena,2303,Alverca (Estação) - Arcena,,,3,"",1,0,,,C61D23,FFFFFF,,,
2304,2304,Alverca (Estação) - Alhandra,2304_0,42,Alverca (Est),Alhandra,2304,Alverca (Estação) - Alhandra,,,3,"",1,0,,,C61D23,FFFFFF,,,
2306,2306,Alverca (Estação) - Vila Franca de Xira,2306_0,42,Alverca (Est),Vila Franca Xira,2306,Alverca (Estação) - Vila Franca de Xira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2307,2307,Arcena - Vila Franca de Xira,2307_0,42,Arcena,Vila Franca de Xira,2307,Arcena - Vila Franca de Xira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2308,2308,Alhandra | Circular,2308_0,42,,Alhandra,2308,Alhandra | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2309,2309,Vila Franca de Xira | Circular via Alhandra,2309_0,42,,Vila Franca de Xira,2309,Vila Franca de Xira | Circular via Alhandra,,,3,"",1,1,,,C61D23,FFFFFF,,,
2310,2310,Bom Retiro - Carregado (Estação),2310_0,42,Torre de Cima e Capelas,Carregado (Estação),2310,Bom Retiro - Carregado (Estação),,,3,"",1,0,,,C61D23,FFFFFF,,,
2315,2315,Castanheira do Ribatejo (Estação) | Circular via Hospital,2315_0,42,Castanheira (Est),Castanheira (Estação),2315,Castanheira do Ribatejo (Estação) | Circular via Hospital,,,3,"",1,1,,,C61D23,FFFFFF,,,
2317,2317,Fonte Santa - Póvoa de Santa Iria (Estação),2317_0,42,Fonte Santa,Póvoa de Santa Iria (Estação),2317,Fonte Santa - Póvoa de Santa Iria (Estação),,,3,"",1,0,,,C61D23,FFFFFF,,,
2318,2318,Póvoa de Santa Iria (Estação) | Circular via Forte da Casa,2318_0,42,P.S.I.(Est),Póvoa de Santa Iria (Estação),2318,Póvoa de Santa Iria (Estação) | Circular via Forte da Casa,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2319,2319,Forte da Casa (Largo) | Circular,2319_0,42,F. Casa(Lgo),Forte da Casa (Largo),2319,Forte da Casa (Largo) | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2325,2325,Póvoa de Santa Iria (Estação) - Verdelha Ruivo,2325_0,42,P.S.I.(Est),Verdelha Ruivo,2325,Póvoa de Santa Iria (Estação) - Verdelha Ruivo,,,3,"",1,0,,,C61D23,FFFFFF,,,
2327,2327,Póvoa de Santa Iria (Estação) | Circular via Vialonga,2327_0,42,P.S.I.(Est),Póvoa de Santa Iria (Estação),2327,Póvoa de Santa Iria (Estação) | Circular via Vialonga,,,3,"",1,1,,,C61D23,FFFFFF,,,
2328,2328,Quinta da Piedade - Vila Franca de Xira,2328_0,42,QªPied,Vila Franca de Xira,2328,Quinta da Piedade - Vila Franca de Xira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2329,2329,Alhandra (Escola) - Alverca (Estação),2329_0,42,,Alverca (Estação),2329,Alhandra (Escola) - Alverca (Estação),,,3,"",1,0,,,C61D23,FFFFFF,,,
2331,2331,Torre de Cima e Capelas - Vila Franca de Xira (Hospital),2331_0,42,Torre Cima i Capela,Vila Franca de Xira (Hospital),2331,Torre de Cima e Capelas - Vila Franca de Xira (Hospital),,,3,"",1,0,,,3D85C6,FFFFFF,,,
2333,2333,Vila Franca de Xira - Vila Franca de Xira (Hospital) via N1,2333_0,42,V.Franca Xira,Vila Franca de Xira (Hospital),2333,Vila Franca de Xira - Vila Franca de Xira (Hospital) via N1,,,3,"",1,0,,,3D85C6,FFFFFF,,,
2335,2335,Póvoa de Santa Iria | Circular via Bragadas,2335_0,42,P.S.Iria (Praça República),Póvoa de Santa Iria,2335,Póvoa de Santa Iria | Circular via Bragadas,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2336,2336,Póvoa de Santa Iria | Circular,2336_0,42,P.S.Iria(Rep),Póvoa de Santa Iria,2336,Póvoa de Santa Iria | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2337,2337,Vila Franca de Xira (Estação) | Circular,2337_0,42,,Vila Franca de Xira (Estação),2337,Vila Franca de Xira (Estação) | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2501,2501,Bocal - Malveira (Terminal),2501_0,42,Bocal,Malveira (Terminal),2501,Bocal - Malveira (Terminal),,,3,"",1,0,,,C61D23,FFFFFF,,,
2502,2502,Bucelas - Malveira,2502_0,42,Bucelas,Malveira,2502,Bucelas - Malveira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2504,2504,Carrascal - Ponte de Lousa,2504_0,42,Carrascal,Ponte de Lousa,2504,Carrascal - Ponte de Lousa,,,3,"",1,0,,,C61D23,FFFFFF,,,
2505,2505,Loures (Centro Comercial) - Malveira (Terminal),2505_0,42,Loures (C. Comercial),Malveira (Terminal),2505,Loures (Centro Comercial) - Malveira (Terminal),,,3,"",1,0,,,C61D23,FFFFFF,,,
2506,2506,Milharado (CASO) - Ponte de Lousa,2506_0,42,Milharado (CASO),Ponte de Lousa,2506,Milharado (CASO) - Ponte de Lousa,,,3,"",1,0,,,C61D23,FFFFFF,,,
2511,2511,Caneças (Escola Secundária) - Loures (Centro Comercial) via Bairro CTT,2511_0,42,,Loures (Centro Comercial ),2511,Caneças (Escola Secundária) - Loures (Centro Comercial) via Bairro CTT,,,3,"",1,0,,,C61D23,FFFFFF,,,
2513,2513,Caneças (Escola Secundária) - Loures,2513_0,42,,Loures,2513,Caneças (Escola Secundária) - Loures,,,3,"",1,0,,,C61D23,FFFFFF,,,
2515,2515,Odivelas (Metro) | Circular via Bairro da Paradela,2515_0,42,,Odivelas (Metro),2515,Odivelas (Metro) | Circular via Bairro da Paradela,,,3,"",1,1,,,C61D23,FFFFFF,,,
2516,2516,Senhor Roubado (Metro) | Circular via Bairro da Paradela,2516_0,42,,Senhor Roubado (Metro),2516,Senhor Roubado (Metro) | Circular via Bairro da Paradela,,,3,"",1,1,,,C61D23,FFFFFF,,,
2517,2517,Odivelas (Metro) | Circular via Loures (Hospital) e Jardim da Amoreira,2517_0,42,Odivelas (Metro),Odivelas (Metro),2517,Odivelas (Metro) | Circular via Loures (Hospital) e Jardim da Amoreira,,,3,"",1,1,,,C61D23,FFFFFF,,,
2518,2518,Frielas - Senhor Roubado (Metro) via Zona Comercial,2518_0,42,,Senhor Roubado (Metro),2518,Frielas - Senhor Roubado (Metro) via Zona Comercial,,,3,"",1,0,,,C61D23,FFFFFF,,,
