layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
ED10_900_930,43,ESC_DOM,15:00:00,15:30:00,148812,ESC_DOM_ED10,ED10,ED10
ED10_955_960,43,ESC_DOM,15:55:00,16:00:00,140074,ESC_DOM_ED10,ED10,ED10
ED110_1105_1115,43,ESC_DOM,18:25:00,18:35:00,142335,ESC_DOM_ED110,ED110,ED110
ED110_555_570,43,ESC_DOM,09:15:00,09:30:00,150051,ESC_DOM_ED110,ED110,ED110
ED110_625_635,43,ESC_DOM,10:25:00,10:35:00,142335,ESC_DOM_ED110,ED110,ED110
ED110_740_770,43,ESC_DOM,12:20:00,12:50:00,150051,ESC_DOM_ED110,ED110,ED110
ED110_846_870,43,ESC_DOM,14:06:00,14:30:00,150170,ESC_DOM_ED110,ED110,ED110
ED110_932_935,43,ESC_DOM,15:32:00,15:35:00,160747,ESC_DOM_ED110,ED110,ED110
ED110_993_1050,43,ESC_DOM,16:33:00,17:30:00,150051,ESC_DOM_ED110,ED110,ED110
ED111_1140_1145,43,ESC_DOM,19:00:00,19:05:00,020800,ESC_DOM_ED111,ED111,ED111
ED111_655_660,43,ESC_DOM,10:55:00,11:00:00,140583,ESC_DOM_ED111,ED111,ED111
ED111_700_705,43,ESC_DOM,11:40:00,11:45:00,020800,ESC_DOM_ED111,ED111,ED111
ED111_745_750,43,ESC_DOM,12:25:00,12:30:00,140583,ESC_DOM_ED111,ED111,ED111
ED111_790_795,43,ESC_DOM,13:10:00,13:15:00,020800,ESC_DOM_ED111,ED111,ED111
ED111_835_840,43,ESC_DOM,13:55:00,14:00:00,140583,ESC_DOM_ED111,ED111,ED111
ED111_880_885,43,ESC_DOM,14:40:00,14:45:00,020800,ESC_DOM_ED111,ED111,ED111
ED111_925_930,43,ESC_DOM,15:25:00,15:30:00,140583,ESC_DOM_ED111,ED111,ED111
ED112_1075_1080,43,ESC_DOM,17:55:00,18:00:00,020317,ESC_DOM_ED112,ED112,ED112
ED112_1165_1170,43,ESC_DOM,19:25:00,19:30:00,140074,ESC_DOM_ED112,ED112,ED112
ED112_1195_1200,43,ESC_DOM,19:55:00,20:00:00,148812,ESC_DOM_ED112,ED112,ED112
ED112_1225_1230,43,ESC_DOM,20:25:00,20:30:00,140074,ESC_DOM_ED112,ED112,ED112
ED112_1275_1290,43,ESC_DOM,21:15:00,21:30:00,149994,ESC_DOM_ED112,ED112,ED112
ED112_1315_1330,43,ESC_DOM,21:55:00,22:10:00,148812,ESC_DOM_ED112,ED112,ED112
ED112_1350_1365,43,ESC_DOM,22:30:00,22:45:00,149994,ESC_DOM_ED112,ED112,ED112
ED112_1385_1390,43,ESC_DOM,23:05:00,23:10:00,148812,ESC_DOM_ED112,ED112,ED112
ED112_1405_1415,43,ESC_DOM,23:25:00,23:35:00,149994,ESC_DOM_ED112,ED112,ED112
ED112_1515_1520,43,ESC_DOM,25:15:00,25:20:00,020955,ESC_DOM_ED112,ED112,ED112
ED112_613_665,43,ESC_DOM,10:13:00,11:05:00,020073,ESC_DOM_ED112,ED112,ED112
ED112_680_710,43,ESC_DOM,11:20:00,11:50:00,021018,ESC_DOM_ED112,ED112,ED112
ED112_740_745,43,ESC_DOM,12:20:00,12:25:00,021018,ESC_DOM_ED112,ED112,ED112
ED112_800_855,43,ESC_DOM,13:20:00,14:15:00,021018,ESC_DOM_ED112,ED112,ED112
ED112_910_915,43,ESC_DOM,15:10:00,15:15:00,069357,ESC_DOM_ED112,ED112,ED112
ED112_970_1010,43,ESC_DOM,16:10:00,16:50:00,020705,ESC_DOM_ED112,ED112,ED112
ED113_1010_1015,43,ESC_DOM,16:50:00,16:55:00,149994,ESC_DOM_ED113,ED113,ED113
ED113_1065_1070,43,ESC_DOM,17:45:00,17:50:00,149994,ESC_DOM_ED113,ED113,ED113
ED113_1095_1100,43,ESC_DOM,18:15:00,18:20:00,148812,ESC_DOM_ED113,ED113,ED113
ED113_1125_1140,43,ESC_DOM,18:45:00,19:00:00,149994,ESC_DOM_ED113,ED113,ED113
ED113_560_565,43,ESC_DOM,09:20:00,09:25:00,140391,ESC_DOM_ED113,ED113,ED113
ED113_595_605,43,ESC_DOM,09:55:00,10:05:00,140555,ESC_DOM_ED113,ED113,ED113
ED113_680_710,43,ESC_DOM,11:20:00,11:50:00,140391,ESC_DOM_ED113,ED113,ED113
ED113_770_800,43,ESC_DOM,12:50:00,13:20:00,140391,ESC_DOM_ED113,ED113,ED113
ED113_855_875,43,ESC_DOM,14:15:00,14:35:00,149994,ESC_DOM_ED113,ED113,ED113
ED113_900_920,43,ESC_DOM,15:00:00,15:20:00,148812,ESC_DOM_ED113,ED113,ED113
ED113_945_960,43,ESC_DOM,15:45:00,16:00:00,149994,ESC_DOM_ED113,ED113,ED113
ED114_1005_1010,43,ESC_DOM,16:45:00,16:50:00,150491,ESC_DOM_ED114,ED114,ED114
ED114_1030_1045,43,ESC_DOM,17:10:00,17:25:00,142335,ESC_DOM_ED114,ED114,ED114
ED114_1080_1110,43,ESC_DOM,18:00:00,18:30:00,160747,ESC_DOM_ED114,ED114,ED114
ED114_1145_1165,43,ESC_DOM,19:05:00,19:25:00,142335,ESC_DOM_ED114,ED114,ED114
ED114_1200_1225,43,ESC_DOM,20:00:00,20:25:00,160747,ESC_DOM_ED114,ED114,ED114
ED114_1260_1275,43,ESC_DOM,21:00:00,21:15:00,142335,ESC_DOM_ED114,ED114,ED114
